Date,Open,High,Low,Close,Volume
2008-03-03,2940.87,2951.47,2922.46,2926.55,268239008
2008-03-04,2921.68,2939.2,2900.26,2919.67,231308000
2008-03-05,2929.42,2929.42,2898.63,2910.77,278693504
2008-03-06,2935.87,2951.5,2917.91,2917.91,232573504
2008-03-07,2865.05,2875.56,2848.48,2866.28,199824000
2008-03-10,2824.28,2847.65,2796.49,2836.59,244968000
2008-03-11,2803.18,2871.6,2794.62,2860.85,287657984
2008-03-12,2964.32,2976.09,2907.8,2917.93,282164512
2008-03-13,2892.76,2900.91,2805.55,2805.55,278614016
2008-03-14,2846.93,2852.85,2799.84,2839.01,186448992
2008-03-17,2766.48,2809.55,2745.96,2792.75,241028496
2008-03-18,2806.8,2837.31,2765.4,2833.58,273796000
2008-03-19,2904.63,2915.15,2830.35,2833.21,351302496
2008-03-20,2794.67,2832,2772.9,2824.9,284352000
2008-03-24,2880.58,2927.79,2876.12,2927.79,218287504
2008-03-25,2958.89,3023.5,2956.5,3000.18,366599488
2008-03-26,2994.25,3006.12,2980.26,2995.22,215971504
2008-03-27,2968.66,3025.2,2959.63,3025.2,228902496
2008-03-28,3006.27,3056.57,3004.99,3031.89,266335504
2008-03-31,3040.07,3058.91,2994.12,3007.36,318883008
2008-04-01,3007.36,3046.54,2994.84,3046.54,223881504
2008-04-02,3123.35,3130.37,3112.38,3124.61,326610496
2008-04-03,3128.51,3175.83,3120.16,3171.55,296748992
2008-04-04,3161.74,3175.1,3147.86,3155.56,263970000
2008-04-07,3162.12,3181.9,3125.7,3181.9,174896496
2008-04-08,3157.28,3171.23,3123.67,3130.41,184688992
2008-04-09,3129.36,3143.13,3085.27,3089.72,189298000
2008-04-10,3073.31,3088.11,3057.91,3064.6,352305984
2008-04-11,3084.37,3127.65,3076.52,3126.87,206192000
2008-04-14,3060.6,3067.63,3033.78,3042.96,189288496
2008-04-15,3047.45,3070.62,3035.62,3056.49,161275504
2008-04-16,3093.09,3103.17,3081.74,3087.49,187974496
2008-04-17,3134.7,3152.54,3126.3,3126.3,249601504
2008-04-18,3124.07,3129.81,3108.05,3124.87,187416000
2008-04-21,3162.92,3201.37,3162.92,3171.09,249674496
2008-04-22,3160.51,3193.65,3150.58,3187.23,200780496
2008-04-23,3187.86,3208.5,3178.59,3193.84,205638000
2008-04-24,3193.83,3235.24,3170.22,3177.55,320282496
2008-04-25,3208.59,3209.71,3174.33,3189.2,262787008
2008-04-28,3202.56,3216.91,3196.28,3201.62,182123008
2008-04-29,3185.28,3185.93,3164.86,3172.36,182041504
2008-04-30,3178.37,3184.59,3147.79,3147.79,274219008
2008-05-02,3206.72,3236.1,3205.88,3236.1,279433984
2008-05-05,3250.76,3269.87,3247.54,3248.04,202790496
2008-05-06,3249.25,3259.54,3233.83,3248.75,200199008
2008-05-07,3267.54,3267.54,3203.71,3228.95,283639008
2008-05-08,3201.21,3201.21,3153.38,3171.87,261040000
2008-05-09,3159.1,3175.88,3140.58,3162.03,206473504
2008-05-12,3153.67,3191.85,3147.82,3180.14,128905504
2008-05-13,3196.17,3213.36,3182.93,3203.41,180975504
2008-05-14,3213.4,3214.05,3178.72,3198.51,195419008
2008-05-15,3214.2,3228.3,3203.35,3207.42,206148000
2008-05-16,3221.1,3249.37,3221.1,3241.49,235229504
2008-05-20,3249.62,3254.43,3187.01,3199.87,272954496
2008-05-21,3173.53,3200.39,3153.75,3196.89,234744992
2008-05-22,3149.77,3177.37,3138.55,3160.86,234871008
2008-05-23,3171.31,3177.34,3122.14,3122.14,253784496
2008-05-26,3111.36,3113.33,3085.12,3103.3,204724992
2008-05-27,3112.15,3134.05,3102.9,3115.35,164788496
2008-05-28,3118.13,3134.78,3112.99,3132.78,195576496
2008-05-29,3156.68,3166.25,3144.82,3160.78,204272992
2008-05-30,3154.82,3199.86,3154.82,3192.62,356073504
2008-06-02,3188.22,3214.62,3179.67,3188.05,336726016
2008-06-03,3169.17,3169.51,3143.03,3153.93,272599488
2008-06-04,3165.12,3169.38,3125.68,3134.8,192650000
2008-06-05,3125.61,3143.88,3113.96,3143.88,198608992
2008-06-06,3179.63,3184.92,3146.08,3146.73,159934496
2008-06-09,3060.62,3085.71,3057.3,3084.02,196807008
2008-06-10,3078.77,3078.77,3033.05,3033.05,234689504
2008-06-11,3042.16,3068.36,3028.37,3046.77,187788496
2008-06-12,2992.88,3024.96,2978.58,3020.14,211784000
2008-06-13,3025.6,3028.85,2978.97,2979.56,165412000
2008-06-16,3005.62,3042.23,2997.72,3036.9,180215008
2008-06-17,3039.29,3039.36,3007.53,3028.24,193424992
2008-06-18,3020.34,3047.22,3010.87,3040.09,219851504
2008-06-19,3002.04,3009.55,2980.6,2992.65,168494000
2008-06-20,3001.24,3028.41,2999.64,3001.81,169801504
2008-06-23,2959.65,2988.05,2951.62,2979.13,147646496
2008-06-24,2986.56,2990.59,2962.15,2962.15,160191008
2008-06-25,2958.07,2993.12,2943.12,2986.62,173504992
2008-06-26,2984.95,3013.92,2978.42,2980.95,217395504
2008-06-27,2929.23,2956.12,2922.87,2955.9,209393504
2008-06-30,2986.53,2986.53,2947.54,2947.54,222045504
2008-07-01,2960.43,2960.43,2904.36,2906.79,170995504
2008-07-02,2911.46,2925.48,2890.77,2906.23,202500496
2008-07-03,2881.11,2890.74,2862.27,2880.45,211168000
2008-07-04,2879.07,2896.16,2878.7,2892.54,153580992
2008-07-07,2889.61,2947.12,2886.35,2934.12,153034496
2008-07-08,2917.25,2917.7,2875.45,2886.62,200380000
2008-07-09,2916.16,2931.24,2898.86,2917.62,187853504
2008-07-10,2894.33,2902.33,2875.61,2901.58,137641504
2008-07-11,2897.32,2939.76,2889.65,2926.84,168359008
2008-07-14,2914.77,2927.14,2876.25,2904.12,136697504
2008-07-15,2875.33,2877.54,2826.54,2830.75,220114496
2008-07-16,2840.86,2843.51,2819.64,2835.32,184237504
2008-07-17,2885.13,2895.47,2864.1,2864.1,192236992
2008-07-18,2879.48,2887.48,2833.14,2847.73,203942000
2008-07-21,2881.99,2926.14,2847.73,2919.21,192082000
2008-07-22,2902.79,2911.47,2888,2890.65,129761504
2008-07-23,2923.23,2982.05,2922.13,2978.98,249235008
2008-07-24,2993.71,2997.82,2965.27,2977.9,183534496
2008-07-25,2937.97,2937.97,2911.24,2922.9,116045000
2008-07-28,2912.7,2926.68,2906.24,2910.36,99000000
2008-07-29,2869.62,2888.79,2860.6,2886.56,160848000
2008-07-30,2926.02,2931.75,2910.66,2925.5,142076992
