Date,Open,High,Low,Close,Volume
2008-03-06,5853.5,5871.1,5753.1,5766.39,1023880704
2008-03-07,5766.39,5766.39,5655.7,5699.89,1342224768
2008-03-10,5699.89,5718.79,5616.6,5629.1,1104456448
2008-03-11,5629.1,5783.39,5629.1,5690.39,1507320832
2008-03-12,5690.39,5812.7,5690.39,5776.39,1202169344
2008-03-13,5776.39,5776.39,5628.89,5692.39,1418096896
2008-03-14,5692.39,5782,5596.7,5631.7,1354078848
2008-03-17,5631.7,5631.7,5414.39,5414.39,1775256192
2008-03-18,5414.39,5610,5414.39,5605.79,1439792256
2008-03-19,5605.79,5653.6,5524.79,5545.6,1927353984
2008-03-20,5545.6,5545.6,5461.89,5495.2,2189743104
2008-03-25,5495.2,5704.29,5495.2,5689.1,1640489600
2008-03-26,5689.1,5689.1,5639.1,5660.39,1338764160
2008-03-27,5660.39,5735,5650.89,5717.5,1294700416
2008-03-28,5717.5,5747.2,5673.7,5692.89,947571904
2008-03-31,5692.89,5715.1,5585.6,5702.1,1222660352
2008-04-01,5702.1,5865.79,5670.39,5852.6,1310260096
2008-04-02,5852.6,5920.1,5827.2,5915.89,1183731200
2008-04-03,5915.89,5935.2,5864,5891.29,933267648
2008-04-04,5891.29,5948,5888,5947.1,830017088
2008-04-07,5947.1,6014.79,5947.1,6014.79,833989696
2008-04-08,6014.79,6014.79,5942.2,5990.2,811803776
2008-04-09,5990.2,6015.6,5947.2,5983.89,809478912
2008-04-10,5983.89,6003.2,5881.89,5965.1,1078806272
2008-04-11,5965.1,6016.29,5866.1,5895.5,1102341888
2008-04-14,5895.5,5895.5,5827,5831.6,966216000
2008-04-15,5831.6,5943.29,5831.6,5906.89,1082808832
2008-04-16,5906.89,6046.2,5906.89,6046.2,1118356224
2008-04-17,6046.2,6086.39,5973.89,5980.39,1205677312
2008-04-18,5980.39,6062.1,5974.29,6056.5,1236642944
2008-04-21,6056.5,6089.5,6021.2,6053,1064035968
2008-04-22,6053,6072,6007.5,6034.7,927324736
2008-04-23,6034.7,6083.6,5978.79,6083.6,1175542400
2008-04-24,6083.6,6083.6,5951.89,6050.7,999231168
2008-04-25,6050.7,6098.79,6045.5,6091.39,972097728
2008-04-28,6091.39,6134.5,6083.5,6090.39,679835584
2008-04-29,6090.39,6133.5,6051.6,6089.39,865734144
2008-04-30,6089.39,6120.29,6035.79,6087.29,975485504
2008-05-01,6087.29,6118.2,6066,6087.29,511438272
2008-05-02,6087.29,6223.89,6087.29,6215.5,1083086336
2008-05-06,6215.5,6233.7,6155.89,6215.2,926311744
